Country,Confirmed,Population
Afghanistan,4,41128771
Albania,249,2842321
Algeria,66,44903225
Anguilla,0,15857
Antigua and Barbuda,0,93763
Argentina,13705,45510318
Armenia,77,2780469
Aruba,0,106445
Australia,11221,26177413
Austria,436,8939617
Azerbaijan,0,10358074
Bahamas,0,409984
Bangladesh,451,171186372
Barbados,0,281635
Belarus,97,9534954
Belgium,521,11655930
Belize,118,405272
Bermuda,0,64184
Bhutan,128,782455
Bolivia,137,12224110
Bosnia and Herz.,0,3233526
Brazil,2884,215313498
British Virgin Islands,0,31305
Bulgaria,96,6781953
Burkina Faso,20,22673762
Cambodia,15,16767842
Cameroon,32,27914536
Canada,15398,38454327
Cayman Islands,0,68706
Central African Rep.,35,5579144
Chad,1,17723315
Chile,5323,19603733
China,48553,1425887337
"China, Hong Kong Special Administrative Region",34,7488865
Colombia,333,51874024
Costa Rica,167,5180829
Côte d'Ivoire,103,27825268
Croatia,2037,4030358
Cuba,0,11212191
Czechia,567,10493986
North Korea,0,26069416
Dem. Rep. Congo,25,99010212
Denmark,16157,5882261
Dominica,0,72737
Dominican Rep.,33,11228821
Ecuador,145,18001000
Egypt,788,110990103
El Salvador,113,6336392
Estonia,180,1326062
Ethiopia,408,123379924
Fiji,210,929766
Finland,99,5540745
France,19537,64626628
French Guiana,118,304557
Gabon,39,2388992
Georgia,182,3744385
Germany,572,83369843
Ghana,1073,33475870
Greece,29,10384971
Grenada,0,125438
Guadeloupe,0,395752
Guatemala,0,17843908
Guinea,12,13859341
Haiti,222,11584996
Honduras,162,10432860
Hungary,781,9967308
Iceland,703,372899
India,657,1417173173
Indonesia,9,275501339
Iran,2071,88550570
Iraq,5,44496122
Ireland,371,5023109
Israel,355,9038309
Italy,1997,59037474
Jamaica,17,2827377
Japan,21,123951692
Jordan,89,11285869
Kazakhstan,32,19397998
Kenya,309,54027487
Kyrgyzstan,2,6630623
Laos,175,7529475
Latvia,141,1850651
Lebanon,17,5489739
Lithuania,114,2750055
Luxembourg,361,647599
Madagascar,223,29611714
Malaysia,3161,33938221
Maldives,79,523787
Mali,14,22593590
Martinique,0,367507
Mauritania,11,4736139
Mauritius,207,1299469
Mexico,2627,127504125
Mongolia,272,3398366
Montenegro,173,627082
Morocco,28,37457971
Mozambique,282,32969518
Myanmar,0,54179306
Nepal,273,30547580
Netherlands,10684,17564014
Nicaragua,630,6948392
Niger,20,26207977
Nigeria,10,218541212
Norway,13422,5434319
Oman,261,4576298
Pakistan,460,235824862
Panama,428,4408581
Paraguay,814,6780744
Peru,2077,34049588
Philippines,76,115559009
Poland,407,39857145
Portugal,8731,10270865
Qatar,2110,2695122
South Korea,38,51815810
Moldova,210,3272996
Romania,1039,19659267
Russia,2572,144713314
Saint Kitts and Nevis,0,47657
Saint Lucia,0,179857
Saint Vincent and the Grenadines,0,103948
Saudi Arabia,269,36408820
Senegal,186,17316449
Serbia,506,7221365
Sierra Leone,0,8605718
Singapore,261,5975689
Slovakia,45,5643453
Slovenia,1125,2119844
South Africa,786,59893885
S. Sudan,8,10913164
Spain,8435,47558630
Sri Lanka,74,21832143
Suriname,4,618040
Sweden,5349,10549347
Switzerland,11776,8740472
Syria,13,22125249
Tajikistan,2,9952787
Thailand,204,71697030
Timor-Leste,202,1341296
Togo,138,8848699
Trinidad and Tobago,0,1531044
Tunisia,118,12356117
Turkey,173,85341241
Turks and Caicos Islands,0,45703
Uganda,357,47249585
Ukraine,71,39701739
United Arab Emirates,146,9441129
United Kingdom,9679,67508936
Tanzania,278,65497748
United States of America,122497,338289857
Uruguay,160,3422794
Uzbekistan,1,34627652
Venezuela,14,28301696
Vietnam,0,98186856
Zambia,215,20017675
Zimbabwe,45,16320537
Kosovo,25,1769710
