Country,Confirmed
Afghanistan,4
Albania,249
Algeria,66
Anguilla,0
Antigua and Barbuda,0
Argentina,13705
Armenia,77
Aruba,0
Australia,11221
Austria,436
Azerbaijan,0
Bahamas,0
Bangladesh,451
Barbados,0
Belarus,97
Belgium,521
Belize,118
Bermuda,0
Bhutan,128
Bolivia (Plurinational State of),137
Bosnia and Herzegovina,0
Brazil,2884
British Virgin Islands,0
Bulgaria,96
Burkina Faso,20
Cambodia,15
Cameroon,32
Canada,15398
Cayman Islands,0
Central African Republic,35
Chad,1
Chile,5323
China,48553
"China, Hong Kong Special Administrative Region",34
Colombia,333
Costa Rica,167
Côte d'Ivoire,103
Croatia,2037
Cuba,0
Czechia,567
Democratic People's Republic of Korea,0
Democratic Republic of the Congo,25
Denmark,16157
Dominica,0
Dominican Republic,33
Ecuador,145
Egypt,788
El Salvador,113
Estonia,180
Ethiopia,408
Fiji,210
Finland,99
France,19537
French Guiana,118
Gabon,39
Georgia,182
Germany,572
Ghana,1073
Greece,29
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,12
Haiti,222
Honduras,162
Hungary,781
Iceland,703
India,657
Indonesia,9
Iran (Islamic Republic of),2071
Iraq,5
Ireland,371
Israel,355
Italy,1997
Jamaica,17
Japan,21
Jordan,89
Kazakhstan,32
Kenya,309
Kyrgyzstan,2
Lao People's Democratic Republic,175
Latvia,141
Lebanon,17
Lithuania,114
Luxembourg,361
Madagascar,223
Malaysia,3161
Maldives,79
Mali,14
Martinique,0
Mauritania,11
Mauritius,207
Mexico,2627
Mongolia,272
Montenegro,173
Morocco,28
Mozambique,282
Myanmar,0
Nepal,273
Netherlands,10684
Nicaragua,630
Niger,20
Nigeria,10
Norway,13422
Oman,261
Pakistan,460
Panama,428
Paraguay,814
Peru,2077
Philippines,76
Poland,407
Portugal,8731
Qatar,2110
Republic of Korea,38
Republic of Moldova,210
Romania,1039
Russian Federation,2572
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Saudi Arabia,269
Senegal,186
Serbia,506
Sierra Leone,0
Singapore,261
Slovakia,45
Slovenia,1125
South Africa,786
South Sudan,8
Spain,8435
Sri Lanka,74
Suriname,4
Sweden,5349
Switzerland,11776
Syrian Arab Republic,13
Tajikistan,2
Thailand,204
Timor-Leste,202
Togo,138
Trinidad and Tobago,0
Tunisia,118
Türkiye,173
Turks and Caicos Islands,0
Uganda,357
Ukraine,71
United Arab Emirates,146
United Kingdom of Great Britain and Northern Ireland,9679
United Republic of Tanzania,278
United States of America,122497
Uruguay,160
Uzbekistan,1
Venezuela (Bolivarian Republic of),14
Viet Nam,0
Zambia,215
Zimbabwe,45
